,ss,sod,sdd,dd,condition_no
531,5,21,36,3,7280193.95194285
532,5,21,36,4,24161574.2828748
533,5,21,36,5,8866688.560608
534,5,21,37,0,91970362.2259943
535,5,21,37,1,88247458.0381243
536,5,21,37,2,20689243.1035234
537,5,21,37,3,5785673.76470532
538,5,21,37,4,23693542.183233
539,5,21,37,5,9363910.65224185
540,5,21,38,0,91970362.2259943
541,5,21,38,1,72181777.057725
542,5,21,38,2,20742097.8376038
543,5,21,38,3,14341950.5430899
544,5,21,38,4,21645254.3984523
545,5,21,38,5,9222969.03470739
546,5,21,39,0,91970362.2259943
547,5,21,39,1,69329297.5428205
548,5,21,39,2,19152466.8853113
549,5,21,39,3,14924528.205445
550,5,21,39,4,30268506.5808408
551,5,21,39,5,8405028.57416061
552,5,21,40,0,91970362.2259943
553,5,21,40,1,60525142.6386917
554,5,21,40,2,19656106.8432808
555,5,21,40,3,7319941.52058552
556,5,21,40,4,7541835.23069781
557,5,21,40,5,8514788.75275815
558,5,21,41,0,91970362.2259943
559,5,21,41,1,52115207.250148
560,5,21,41,2,18797571.6317392
561,5,21,41,3,7968127.97750456
562,5,21,41,4,7127492.39431895
563,5,21,41,5,17211940.6564758
564,5,21,42,0,91970362.2259943
565,5,21,42,1,45346019.719676
566,5,21,42,2,20917058.7397118
567,5,21,42,3,8110829.93596981
568,5,21,42,4,7534498.49389499
569,5,21,42,5,17345034.2735599
570,5,21,43,0,91970362.2259943
571,5,21,43,1,42106375.0069754
572,5,21,43,2,27736100.4873649
573,5,21,43,3,7882535.44498881
574,5,21,43,4,5371989.90323984
575,5,21,43,5,26721802.1846564
576,5,21,44,0,91970362.2259943
577,5,21,44,1,43031410.6858574
578,5,21,44,2,37147039.3755537
579,5,21,44,3,7527271.83656308
580,5,21,44,4,7568960.85103381
581,5,21,44,5,27776644.491379
582,5,21,45,0,91970362.2259943
583,5,21,45,1,41898870.7219133
584,5,21,45,2,47278849.7758395
585,5,21,45,3,7312354.7073331
586,5,21,45,4,6698817.60209697
